0.42,8.52 16.76,19.62 
13.83,2.66 7.9,3.94 

8.96,2.17 15.27,14.38 
11.36,3.87 15.15,11.26 

0.7502283219847938 0.24977167801520622

6.34,10.89 19.95,3.28 
16.41,15.01 5.64,9.59 

3.43,9.64 8.25,17.76 
11.82,10.84 2.79,0.3 

0.322390616194656 0.6776093838053441

19.07,10.1 9.4,13.96 
1.82,12.21 7.11,13.37 

10.39,10.26 5.21,13.0 
4.02,18.09 13.25,10.17 

0.8116027368472499 0.1883972631527501

11.32,10.98 15.72,15.92 
9.31,14.6 12.41,2.93 

14.95,12.16 16.32,14.07 
19.12,11.07 13.88,6.37 

0.4545567962709841 0.5454432037290159

19.9,2.94 9.21,3.22 
12.82,18.5 8.28,13.0 

2.06,13.55 12.6,6.83 
0.46,10.83 2.12,19.71 

0.6228781270768057 0.37712187292319427

18.73,17.04 17.49,15.77 
5.42,14.01 3.27,9.05 

15.75,16.68 12.11,8.22 
7.08,0.66 18.79,12.15 

0.052838412609774336 0.9471615873902257

2.5,8.01 19.59,1.37 
11.77,2.12 18.86,2.01 

6.55,4.78 3.71,8.39 
15.89,1.81 11.12,19.69 

0.43021217304001813 0.5697878269599819

12.84,19.3 4.6,18.52 
9.44,19.2 19.99,14.77 

16.07,18.77 13.86,10.7 
7.7,12.27 13.8,9.47 

0.37450959696156755 0.6254904030384324

15.25,6.03 6.33,12.7 
3.14,15.81 4.97,1.14 

17.66,2.19 2.37,9.85 
2.18,6.26 17.74,11.62 

0.48337656539965457 0.5166234346003455

10.44,6.58 12.0,3.93 
12.82,15.72 15.03,18.89 

2.59,16.79 7.7,3.68 
8.57,16.28 2.29,9.55 

0.3774394969894132 0.6225605030105869

18.58,2.73 6.43,4.95 
12.21,7.96 5.66,4.55 

12.83,4.43 7.48,0.28 
16.81,7.33 6.7,7.2 

0.7302924437767382 0.26970755622326187

4.5,11.79 6.18,13.06 
18.37,13.05 11.16,1.89 

6.9,18.38 18.1,14.37 
13.98,18.44 2.75,19.44 

0.6045944464789279 0.39540555352107226

13.67,15.79 10.47,1.75 
0.41,9.26 19.14,2.22 

1.11,0.28 15.47,10.74 
11.59,6.7 13.9,13.99 

0.37133960679392103 0.628660393206079

4.85,2.15 1.9,1.02 
1.07,19.29 16.19,1.82 

5.74,10.62 12.76,19.24 
11.63,9.93 4.2,1.0 

0.7744704897844846 0.22552951021551534

13.82,17.0 8.95,0.5 
17.09,6.7 7.9,3.19 

3.0,10.45 19.98,17.86 
15.15,16.3 6.07,13.23 

0.41072998655532533 0.5892700134446746

17.72,1.71 15.36,12.95 
3.76,1.57 7.42,14.57 

14.04,3.54 0.48,7.51 
10.09,4.61 14.46,8.8 

0.5042667940490636 0.49573320595093645

10.54,2.35 10.77,19.66 
16.39,5.34 15.81,11.26 

5.78,8.34 15.86,2.31 
7.49,15.17 14.2,4.55 

0.007474956603581938 0.9925250433964181

8.54,8.43 10.63,14.08 
7.34,18.62 1.6,8.12 

19.34,14.59 5.34,18.63 
7.19,10.69 4.81,18.62 

0.13670397999505998 0.86329602000494

10.49,0.24 15.56,16.66 
12.02,3.3 6.52,2.54 

19.12,13.69 0.39,11.3 
19.8,9.0 1.1,15.8 

0.19528038695193614 0.8047196130480638

17.2,4.4 7.78,8.73 
17.53,1.2 1.89,10.81 

3.93,6.23 4.57,18.87 
13.74,2.03 12.6,4.02 

0.44896992059278773 0.5510300794072124

